PCA Components,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
9,NaiveBayes,0.6990987677027772,0.33952547360676844,0.3362769253564375,0.29467152628608617,0.31886003330304646,0.33952547360676844
10,RandomForest,0.867941879713077,0.5552694500643738,0.5526307996946672,0.5488324377888449,0.5556206838615607,0.5552694500643738
10,ExtraTrees,0.8690454294647784,0.5582122494022439,0.5556108167890028,0.5522201895167546,0.5610128142009071,0.5582122494022439
10,LogisticRegression,0.7923487217215376,0.40739378333639875,0.40408555270459995,0.38472619350097076,0.3935416903987313,0.40739378333639875
10,SVM,0.8708846790509472,0.5019312120654773,0.4992130335674683,0.48259537637648875,0.5067576805550655,0.5019312120654773
10,XGBoost,0.8359389369137392,0.5081846606584514,0.5052385150680702,0.5055599871946561,0.5138549117891831,0.5081846606584514
10,MLPClassifier,0.8973698730917785,0.5716387713812764,0.5691999264726059,0.5615768328649888,0.5744694956649495,0.5716387713812764
10,DecisionTree,0.43976457605297037,0.4221077800257495,0.41865269074532413,0.4217084552143032,0.4287286103487279,0.4221077800257495
10,KNN,0.7575869045429465,0.4862975905830421,0.48331571655873146,0.4813907276435226,0.4989119719075149,0.4862975905830421
10,NaiveBayes,0.6926613941511863,0.33787014897921647,0.3346338811298847,0.29307741979761176,0.3173136437944559,0.33787014897921647
11,RandomForest,0.8653669302924407,0.5480963766783152,0.54541335468944,0.5418674523997449,0.5502634686840469,0.5480963766783152
11,ExtraTrees,0.8635276807062718,0.5457053522162958,0.5430315385749455,0.5383065977701297,0.5456793019687519,0.5457053522162958
11,LogisticRegression,0.7884862975905831,0.400588559867574,0.3971511512118417,0.3816927676216203,0.39077923639659884,0.400588559867574
11,SVM,0.869597204340629,0.49420636380356814,0.4914622041603225,0.4746231128776793,0.4994533757582885,0.49420636380356814
11,XGBoost,0.8370424866654405,0.5037704616516461,0.5008080175057094,0.5023646995972056,0.5127128916519796,0.5037704616516461
11,MLPClassifier,0.8936913739194409,0.5653853227883023,0.562991348605001,0.5551201387331435,0.5783132657513363,0.5653853227883023
11,DecisionTree,0.4408681258046717,0.42302740481883394,0.4195732476408866,0.42383574029083215,0.4317707530233164,0.42302740481883394
11,KNN,0.7402979584329593,0.44988044877689903,0.4466938792688574,0.44547424051153983,0.4623602675975018,0.44988044877689903
11,NaiveBayes,0.6900864447305499,0.33603089939304764,0.33276266564411366,0.2930520451945371,0.31923307470160295,0.33603089939304764
12,RandomForest,0.8694132793820122,0.5534302004782049,0.5507858563717571,0.5475089621728195,0.5558080870790735,0.5534302004782049
12,ExtraTrees,0.8578260069891485,0.5433143277542762,0.540628220996468,0.5369492490735033,0.5460643001528083,0.5433143277542762
12,LogisticRegression,0.7921647967629207,0.4009564097848078,0.39751415442888327,0.3835243271337973,0.39462375883574835,0.4009564097848078
12,SVM,0.869597204340629,0.4964134633069708,0.493672768693368,0.4771744181490485,0.5010248794681381,0.4964134633069708
12,XGBoost,0.8359389369137392,0.49604561338973696,0.4930333868952573,0.49610293680421264,0.5067722641297346,0.49604561338973696
12,MLPClassifier,0.8931395990435902,0.5622585984918154,0.5598092715438181,0.5544585183430374,0.5756400841361955,0.5622585984918154
12,DecisionTree,0.4410520507632886,0.42229170498436636,0.41882877166528293,0.4229512192525206,0.4313004909264115,0.42229170498436636
12,KNN,0.7397461835571087,0.4500643737355159,0.44687053411005667,0.4448507006342848,0.461627276988217,0.4500643737355159
12,NaiveBayes,0.6864079455582123,0.3369505241861321,0.3336581832721214,0.29476502268859717,0.3156080000229674,0.3369505241861321
13,RandomForest,0.8675740297958433,0.5455214272576788,0.5428346322079135,0.5373805278678264,0.543747329812127,0.5455214272576788
13,ExtraTrees,0.8594813316167004,0.5403715284164061,0.5376811935847006,0.5320457134654909,0.5410967007472683,0.5403715284164061
13,LogisticRegression,0.7945558212249402,0.40610630862608055,0.40268974144807196,0.38827867491236506,0.39818524755726487,0.40610630862608055
13,SVM,0.8703329041750966,0.5002758874379253,0.4975608551665876,0.4807474281626174,0.5030554546452282,0.5002758874379253
13,XGBoost,0.8306051131138495,0.5002758874379253,0.49728694843872673,0.4990167938448241,0.5082726943582888,0.5002758874379253
13,MLPClassifier,0.896634173257311,0.5743976457605297,0.5720239707201724,0.5646693413465391,0.5815934616509346,0.5743976457605297
13,DecisionTree,0.438844951259886,0.421372080191282,0.41790043356410667,0.42239199383521964,0.4305572244933501,0.421372080191282
13,KNN,0.7402979584329593,0.44932867390104836,0.4461373063998921,0.44408631497023016,0.46128673635956086,0.44932867390104836
13,NaiveBayes,0.6853043958065109,0.32885782600698915,0.3255210561618566,0.2881476351497327,0.31188876296248363,0.32885782600698915
14,RandomForest,0.8607688063270186,0.5482803016369321,0.545629688229522,0.5414307507971368,0.5517392177499705,0.5482803016369321
14,ExtraTrees,0.8508368585617069,0.5377965789957697,0.5350871188288961,0.5296800018256314,0.5395119727112685,0.5377965789957697
14,LogisticRegression,0.7965789957697259,0.41640610630862607,0.4130475806133036,0.39765654701788977,0.4062915905111888,0.41640610630862607
14,SVM,0.8740114033474342,0.4971491631414383,0.4943864125465746,0.4782621388906595,0.4953334815744577,0.4971491631414383
14,XGBoost,0.834651462203421,0.4975170130586721,0.4945027697973036,0.4948592967082956,0.5015759111723714,0.4975170130586721
14,MLPClassifier,0.903071546808902,0.5789957697259518,0.5765995705279573,0.5711859961002749,0.5906422299163737,0.5789957697259518
14,DecisionTree,0.4456501747287107,0.4257862791980872,0.4223465813200147,0.42561820244658183,0.43301356228155685,0.4257862791980872
14,KNN,0.7358837594261541,0.4489608239838146,0.4457708487001346,0.44071773335050984,0.4546479222948656,0.4489608239838146
14,NaiveBayes,0.6847526209306602,0.3281221261725216,0.3247650804088184,0.29029282147789565,0.3200030792449639,0.3281221261725216
15,RandomForest,0.863159830789038,0.5451535773404451,0.5424763275528914,0.5372939512766602,0.5469172098736598,0.5451535773404451
15,ExtraTrees,0.8480779841824535,0.5302556556924775,0.5274939158896667,0.5220972732557779,0.5322094803408959,0.5302556556924775
15,LogisticRegression,0.8083501931212066,0.42229170498436636,0.4189782253764254,0.4037266457701994,0.41391770203163897,0.42229170498436636
15,SVM,0.8758506529336031,0.5010115872723928,0.49827579484143436,0.48190232881492984,0.49950274470680867,0.5010115872723928
15,XGBoost,0.8324443627000184,0.5028508368585617,0.49987578764918034,0.5012557605914181,0.5099035623975995,0.5028508368585617
15,MLPClassifier,0.9036233216847526,0.5834099687327571,0.5810263643239434,0.5792908043896611,0.5952663637594359,0.5834099687327571
15,DecisionTree,0.4408681258046717,0.4221077800257495,0.4186280693852451,0.4228040010801309,0.4298071823089384,0.4221077800257495
15,KNN,0.7373551590950892,0.451535773404451,0.44837200450931125,0.4441230104479166,0.4600357197091138,0.451535773404451
15,NaiveBayes,0.6860400956409785,0.32701857642082033,0.32362976464843984,0.2905076277630983,0.31659715566734375,0.32701857642082033
